no.,Usage_Type,machine_type,duration,checklist_no,english_name,Machine_Group,Status,Quantity,Level,Air_Consumption
1,เครื่องจักรผลิต,เครื่องผ่าไม้,2 สัปดาห์,11,Wood Sawing Machine / Wood Slicer,WSA,,3,3,
2,เครื่องจักรผลิต,เครื่องชิด,2 สัปดาห์,12,Edge Bander / Edge Gluing Machine,EBG,,2,4,
3,เครื่องจักรผลิต,เครื่องไส 1 หน้า,2 สัปดาห์,13,Single-Sided Planer,PL1,,3,4,
4,เครื่องจักรผลิต,เครื่องไส 4 หน้า,2 สัปดาห์,14,Four-Sided Planer,PL4,,1,2,
5,เครื่องจักรผลิต,เครื่องตีฟันจอยซ์,2 สัปดาห์,15,Finger Joint Cutter / Shaper,FJC,,2,3,
6,เครื่องจักรผลิต,เครื่องอัดฟันจอยซ์,2 สัปดาห์,16,Finger Joint Press,FJP,,2,3,
7,เครื่องจักรผลิต,เครื่องลอดถ้ำ,2 สัปดาห์,17,Tunnel-type Machine,TTM,,5,3,
8,เครื่องจักรผลิต,เครื่องตัดอาร์มซอ,2 สัปดาห์,18,Arm Saw Cutting Machine,ASC,,4,4,
9,เครื่องจักรผลิต,เครื่องตัด 2 หัว,2 สัปดาห์,19,Double Head Cutting Machine,DHC,,2,3,
10,เครื่องจักรผลิต,เครื่องตัดสไลด์ใหญ่,2 สัปดาห์,20,Large Sliding Table Saw,LSS,,1,3,
11,เครื่องจักรผลิต,เครื่องตัด ปาด เจาะ,2 สัปดาห์,21,Cutting Trimming and Drilling Machine,CTD,,2,3,
12,เครื่องจักรผลิต,เครื่องตัดสไลด์,2 สัปดาห์,22,Sliding Table Saw,STS,,8,4,
13,เครื่องจักรผลิต,เครื่องลิบไม้,2 สัปดาห์,23,Wood Ripping Machine / Rip Saw,RPS,,1,2,
14,เครื่องจักรผลิต,เครื่องตัดปรับขา,2 สัปดาห์,24,Leg Adjusting Cutter,LAC,,3,4,
15,เครื่องจักรผลิต,เครื่องเลื่อย,2 สัปดาห์,25,Sawing Machine / Saw,SAW,,6,4,
16,เครื่องจักรผลิต,เครื่องคัตเตอร์เพลาตั้ง,2 สัปดาห์,26,Spindle Moulder / Vertical Shaft Cutter,SMD,,14,4,
17,เครื่องจักรผลิต,เครื่องเชปเปอร์,2 สัปดาห์,27,Shaping Machine / Shaper,SHP,,2,3,
18,เครื่องจักรผลิต,เครื่องเราเตอร์,2 สัปดาห์,28,Router Machine,RTR,,7,4,
19,เครื่องจักรผลิต,เครื่องเซาะ (สล๊อต),2 สัปดาห์,29,Slotting Machine,SLT,,4,3,
20,เครื่องจักรผลิต,เครื่องกรอเดือย,2 สัปดาห์,31,Tenon Trimming Machine / Dowel Trimming Machine,TTR,,8,1,
21,เครื่องจักรผลิต,เครื่องเจาะตั้ง,2 สัปดาห์,32,Vertical Drilling Machine,VDR,,19,4,
22,เครื่องจักรผลิต,เครื่องเจาะนอน,2 สัปดาห์,33,Horizontal Boring Machine,HBM,,8,4,
23,เครื่องจักรผลิต,เครื่องขัดตั้ง,2 สัปดาห์,34,Vertical Sander,VTS,,12,4,
24,เครื่องจักรผลิต,เครื่องขัดสปองค์,2 สัปดาห์,35,Sponge Sanding Machine,SPS,,24,4,
25,เครื่องจักรผลิต,เครื่องขัดนอน,2 สัปดาห์,36,Horizontal Sander,HSN,,1,4,
26,เครื่องจักรผลิต,เครื่องขัดแปรง,2 สัปดาห์,37,Brush Sanding Machine,BSM,,1,4,
27,เครื่องจักรผลิต,เครื่องขัดไม้กลม,2 สัปดาห์,38,Round Wood Sanding Machine,RWS,,2,3,
28,เครื่องจักรผลิต,เครื่องบดเดือย,2 สัปดาห์,39,Tenon Grinding Machine / Dowel Grinding Machine,TGR,,2,2,
29,เครื่องจักรผลิต,เครื่องอัดจั่วประกอบ,2 สัปดาห์,41,Gable Assembly Press Machine,GAP,,1,4,
30,เครื่องจักรผลิต,เครื่องอัดประกอบนอน,2 สัปดาห์,42,Horizontal Assembly Press,HAS,,4,4,
31,เครื่องจักรผลิต,เครื่องอัดประกอบไฮดรอลิก,2 สัปดาห์,43,Hydraulic Assembly Press,HAP,,3,3,
32,เครื่องจักรผลิต,เครื่องอัดไดวิ่ง,2 สัปดาห์,44,Dovetail Machine / Dovetail Press Machine,DTM,,2,4,
33,เครื่องจักรผลิต,เครื่องอัดทีนัท,2 สัปดาห์,45,T-Nut Press Machine,TNP,,2,4,
34,เครื่องจักรผลิต,เครื่องอัดวีเนียร์,2 สัปดาห์,46,Veneer Press Machine,VPM,,17,2,
35,เครื่องจักรผลิต,เครื่องอัดหน้าโต๊ะ,2 สัปดาห์,47,Table Top Press Machine,TTP,,1,4,
36,เครื่องจักรผลิต,เครื่องกลึง,2 สัปดาห์,48,Lathe Machine,LTH,,6,4,
37,เครื่องจักรผลิต,เครื่องเหลา,2 สัปดาห์,49,Sharpening Machine,SRM,,1,2,
38,เครื่องจักรผลิต,เครื่องดัดไม้,2 สัปดาห์,51,Wood Bending Machine,WBM,,1,1,
39,เครื่องจักรผลิต,เครื่องอบไอน้ำ,2 สัปดาห์,52,Steamer / Steam Machine,STM,,1,1,
40,เครื่องจักรโรงงาน,เครื่องทดสอบโครงสร้าง,2 สัปดาห์,53,Structure Testing Machine,STT,,1,3,
41,เครื่องจักรผลิต,เครื่องสไลด์ไม้,2 สัปดาห์,54,Wood Sliding Machine / Wood Slicer,WSL,,1,3,
42,เครื่องจักรผลิต,เครื่องปิดขอบ,2 สัปดาห์,55,Edge Banding Machine,EBM,,1,3,
43,เครื่องจักรผลิต,เครื่องกลึงไฮดรอลิค,2 สัปดาห์,56,Hydraulic Lathe,HYL,,1,4,
44,เครื่องจักรผลิต,เครื่องพ่นสี,2 สัปดาห์,57,Spray Painting Machine / Paint Sprayer,SPM,,3,3,
45,เครื่องจักรโรงงาน,ปั๊มสี,2 สัปดาห์,58,Paint Pump,PP1,,10,4,
46,เครื่องจักรโรงงาน,รถแฮนด์ลิฟท์,2 สัปดาห์,59,Hand Pallet Truck / Hand Lift,HPT,,9,4,
48,เครื่องจักรผลิต,เครื่องตัดไม้อัด,2 สัปดาห์,61,Plywood Cutting Machine,PCM,,1,,
49,เครื่องจักรผลิต,เครื่องอัดชิงช้า,2 สัปดาห์,62,Swing Press Machine,SPW,,1,2,
50,เครื่องจักรผลิต,เครื่องอัด 2 ตุ้ม 1,2 สัปดาห์,63,2-Ram 1-Station Press Machine,R21,,1,3,
51,เครื่องจักรโรงงาน,เครื่องดูดฝุ่นแบบถังพัก,1 เดือน,65,Dust Collector with Storage Tank,DCT,,3,2,
52,เครื่องจักรโรงงาน,เครื่องดูดฝุ่น,1 เดือน,66,Vacuum Cleaner,VCL,,8,2,
53,เครื่องจักรโรงงาน,ปั๊มลม 50 แรงม้า,ทุกวัน,67,50 Horsepower Air Compressor,A50,,1,3,
54,เครื่องจักรโรงงาน,ปั๊มลม 25 แรงม้า,ทุกวัน,68,25 Horsepower Air Compressor,A25,,2,3,
55,เครื่องจักรโรงงาน,ปั๊มลม 7.5 แรงม้า,ทุกวัน,69,7.5 Horsepower Air Compressor,A75,,6,3,
56,เครื่องจักรโรงงาน,ปั๊มลม 3 แรงม้า,2 สัปดาห์,70,3 Horsepower Air Compressor,AC3,,2,4,
57,เครื่องจักรผลิต,CNC 2.5 Axis Shoda,2 สัปดาห์,71,CNC 2.5 Axis Shoda,CS1,,2,3,
59,เครื่องจักรผลิต,CNC 5 Axis,2 สัปดาห์,73,CNC 5 Axis,C5A,,1,1,
60,เครื่องจักรผลิต,CNC 9 Axis,2 สัปดาห์,74,CNC 9 Axis,C9A,,1,1,
61,เครื่องจักรผลิต,CNC 2.5 Axis Masterwood,2 สัปดาห์,75,CNC 2.5 Axis Masterwood,CMW,ยกเลิกใช้งาน,1,3,
62,เครื่องจักรผลิต,Robot,2 สัปดาห์,76,Robot,RBT,,1,1,
63,เครื่องจักรโรงงาน,เครื่องปรับอากาศ,ทุกวัน,77,Air Conditioner,AIR,,1,1,
64,เครื่องจักรโรงงาน,กล้องวงจรปิด,1 เดือน,78,CCTV (Closed-Circuit Television),CCT,,1,3,
65,เครื่องจักรโรงงาน,จักรเย็บผ้า,2 สัปดาห์,87,Sewing Machine,SWM,,12,4,
66,เครื่องจักรผลิต,CNC 2.5 Axis 2 Table,2 สัปดาห์,89,CNC 2.5 Axis 2 Table,C2T,,1,3,
67,เครื่องจักรผลิต,เครื่องพิมพ์ลาย,2 สัปดาห์,90,Printing Machine,PRM,ยกเลิกใช้งาน,1,,
68,เครื่องจักรผลิต,เครื่องลำเลียงสายพาน,2 สัปดาห์,91,Belt Conveyor,BCV,,2,2,
69,เครื่องจักรผลิต,เครื่องวัดวีเนียร์,2 สัปดาห์,92,Veneer Measuring Machine,VMM,,1,1,
70,เครื่องจักรผลิต,เครื่องผ่าวีเนียร์,2 สัปดาห์,93,Veneer Slicer / Veneer Peeling Machine,VSL,,1,2,
71,เครื่องจักรโรงงาน,ถังน้ำดื่ม,4 เดือน,94,Drinking Water Tank,DWT,,3,1,
72,เครื่องจักรผลิต,เครื่องทากาว,2 สัปดาห์,96,Glue Spreader / Gluing Machine,GSP,,3,2,
73,เครื่องจักรโรงงาน,โซ่ขับคอนเวเยอร์,6 เดือน,99,Conveyor Drive Chain,CDC,,5,1,
74,เครื่องจักรโรงงาน,แอร์ไดเออร์,ทุกวัน,100,Air Dryer,ADR,,5,1,
75,เครื่องจักรโรงงาน,รถโฟล์คลิฟท์,1 เดือน,101,Forklift,FKL,,2,2,
76,เครื่องจักรโรงงาน,แว๊คคั่มแบบสกูร,ทุกวัน,102,Vacuum,VC1,,0,2,
77,เครื่องจักรโรงงาน,แว๊คคั่มโรตารี่,ทุกวัน,103,Vacuum,VC2,,0,3,
78,เครื่องจักรผลิต,เครื่องตัด 4 ใบ,1 สัปดาห์,104,4-Blade Cutting Machine,BCM,,1,3,
79,เครื่องจักรโรงงาน,ระบบน้ำมันร้อน,ทุกวัน,105,Hot Oil System,HOS,,1,3,
80,เครื่องจักรผลิต,เครื่องอัด 2 ตุ้ม,ทุกวัน,106,2-Ram Press Machine,RP2,,1,3,
81,เครื่องจักรโรงงาน,เครื่องสูบน้ำดับเพลิง,1 สัปดาห์,107,Fire Pump,FPU,,1,1,
82,เครื่องจักรโรงงาน,MDB รายผลิตหลัก,1 สัปดาห์,108,Main Distribution Board (MDB) for Production Line,MDB,,1,1,
83,อุปกรณ์ความปลอดภัย,สปริงเกอร์ดับเพลิง,6 เดือน,109,Fire Sprinkler,FSK,,1,1,
84,เครื่องจักรโรงงาน,นาฬิกาแจ้งเตือนเวลา,2 สัปดาห์,110,Time Alarm Clock,TAC,,1,3,
85,เครื่องจักรโรงงาน,ถังเก็บฝุ่นใหญ่,1 เดือน,111,Large Dust Collector Tank,LDC,,1,2,
86,เครื่องจักรผลิต,บู๊ทพ่นสี,4 เดือน,112,Spray Booth,SPB,,7,2,
87,เครื่องจักรโรงงาน,ปั๊มลม 10 แรงม้า,ทุกวัน,113,10 Horsepower Air Compressor,A10,,2,3,
88,เครื่องจักรผลิต,CNC 6 Axis,2 สัปดาห์,114,CNC 6 Axis,C6A,,2,1,
