MCode,Dept,MType,Machine,SeqNo,MaintNo,DeptCode,InstDept,Machine_Group,Usage_Type,Stopdate,Level,Url,Hp,Phase
1101WH,คลังวัตถุดิบ,เครื่องผ่าไม้,เครื่องผ่าไม้ 1,1,11,WH,แผนกคลังวัตถุดิบ,WSA,เครื่องจักรผลิต,,3,https://drive.google.com/file/d/1lxDxQs1pQD3qMNggpx8pl5oOrZBHdO0v/view?usp=drivesdk,5,3
1102RW,เตรียมชิ้นส่วน,เครื่องผ่าไม้,เครื่องผ่าไม้ 2,2,11,RW,แผนกเตรียมวัตถุดิบ,WSA,เครื่องจักรผลิต,,3,https://drive.google.com/file/d/1pbaGRuGGpxvp7NWBzwL83MUI8ye-m3yk/view?usp=drivesdk,5,3
1103RW,เตรียมชิ้นส่วน,เครื่องผ่าไม้,เครื่องผ่าไม้ 3,3,11,RW,แผนกเตรียมวัตถุดิบ,WSA,เครื่องจักรผลิต,,3,https://drive.google.com/file/d/1Ocgcp1j3w8WgulVjzGIzQhXJ2fmyjCGI/view?usp=drivesdk,5,3
1201RW,เตรียมชิ้นส่วน,เครื่องชิด,เครื่องชิด 1,1,12,RW,แผนกเตรียมวัตถุดิบ,EBG,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1c8lwMiUm_JUXSyt52f4eaXT5jQYSl1n4/view?usp=drivesdk,5,3
1202RW,เตรียมชิ้นส่วน,เครื่องชิด,เครื่องชิด 2,2,12,RW,แผนกเตรียมวัตถุดิบ,EBG,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/17IzMRO1lHYCyJoRb8c9UW10j4OV2RmBQ/view?usp=drivesdk,5,3
1301RW,เตรียมชิ้นส่วน,เครื่องไส 1 หน้า,เครื่องไส 1 หน้า 1,1,13,RW,แผนกเตรียมวัตถุดิบ,PL1,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1L-fbI7CUgYJxZ2JIhQLM2Ty6yDrfBhI5/view?usp=drivesdk,5,3
1302RW,เตรียมชิ้นส่วน,เครื่องไส 1 หน้า,เครื่องไส 1 หน้า 2,2,13,RW,แผนกเตรียมวัตถุดิบ,PL1,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1-lK4XpWPTjPjGf8QqAx70vTUvEo5E4r5/view?usp=drivesdk,5,3
1303CU,ขึ้นรูป,เครื่องไส 1 หน้า,เครื่องไส 1 หน้า 3,3,13,CU,แผนก ขึ้นรูป L2,PL1,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1KHHXoC_x8zsSglttSacELoo8JOua5L5P/view?usp=drivesdk,5,3
1401RW,เตรียมชิ้นส่วน,เครื่องไส 4 หน้า,เครื่องไส 4 หน้า,1,14,RW,แผนกเตรียมวัตถุดิบ,PL4,เครื่องจักรผลิต,,2,https://drive.google.com/file/d/1ZDkFuwFjlX482ADKXopLX7wpMxtxl1kU/view?usp=drivesdk,15,3
1501RW,เตรียมชิ้นส่วน,เครื่องตีฟันจอยซ์,เครื่องตีฟันจอยซ์ 1,1,15,RW,แผนกเตรียมวัตถุดิบ,FJC,เครื่องจักรผลิต,,3,https://drive.google.com/file/d/1wCtHmMigjAAgKuF02QUx5m5CvWGWkn_h/view?usp=drivesdk,7.5,3
1502RW,เตรียมชิ้นส่วน,เครื่องตีฟันจอยซ์,เครื่องตีฟันจอยซ์ 2,2,15,RW,แผนกเตรียมวัตถุดิบ,FJC,เครื่องจักรผลิต,,3,https://drive.google.com/file/d/1zjSH9JtgQqReafzrzal68OpODVDnK325/view?usp=drivesdk,7.5,3
1601RW,เตรียมชิ้นส่วน,เครื่องอัดฟันจอยซ์,เครื่องอัดฟันจอยซ์ 1,1,16,RW,แผนกเตรียมวัตถุดิบ,FJP,เครื่องจักรผลิต,,3,https://drive.google.com/file/d/143eboyLsaNbvcPAQInc1LBW-eGjBIS_I/view?usp=drivesdk,3,3
1602RW,เตรียมชิ้นส่วน,เครื่องอัดฟันจอยซ์,เครื่องอัดฟันจอยซ์ 2,2,16,RW,แผนกเตรียมวัตถุดิบ,FJP,เครื่องจักรผลิต,,3,https://drive.google.com/file/d/1zClVf0dsf5DZT461T-jPoeVcpUZ6GtAu/view?usp=drivesdk,3,3
1701CU,ขึ้นรูป,เครื่องลอดถ้ำ,เครื่องลอดถ้ำ 1,1,17,CU,แผนกขัดลอดถ้ำ,TTM,เครื่องจักรผลิต,,3,https://drive.google.com/file/d/1qIzZgeoZsspgw8pLVO_t1glQc8oiyx_k/view?usp=drivesdk,15,3
1702CU,ขึ้นรูป,เครื่องลอดถ้ำ,เครื่องลอดถ้ำ 2,2,17,CU,แผนกขัดลอดถ้ำ,TTM,เครื่องจักรผลิต,,3,https://drive.google.com/file/d/1PrhXfiLX_YqqCgAJq4fJtZFGYkJmclt/view?usp=drivesdk,15,3
1703CU,ขึ้นรูป,เครื่องลอดถ้ำ,เครื่องลอดถ้ำ 3,3,17,CU,แผนกขัดลอดถ้ำ,TTM,เครื่องจักรผลิต,,3,https://drive.google.com/file/d/1K1EG3bX61a0UbVfxWQ9jJHy-v9FC7Z6C/view?usp=drivesdk,15,3
1704CU,ขึ้นรูป,เครื่องลอดถ้ำ,เครื่องลอดถ้ำ 4,4,17,CU,แผนกขัดลอดถ้ำ,TTM,เครื่องจักรผลิต,,3,https://drive.google.com/file/d/1rbTWIIBlu38DZaZi3wIKyJCQXnQGU2Vg/view?usp=drivesdk,15,3
1705WH,คลังวัตถุดิบ,เครื่องลอดถ้ำ,เครื่องลอดถ้ำ 5,5,17,WH,แผนกเตรียมวีเนียร์,TTM,เครื่องจักรผลิต,,3,https://drive.google.com/file/d/1LeTFPwL8C5rBbrXwNnNFBLEle97u762V/view?usp=drivesdk,15,3
1801CU,ขึ้นรูป,เครื่องตัดอาร์มซอ,เครื่องตัดอาร์มซอ 1,1,18,CU,แผนก ขึ้นรูป S1,ASC,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1UjIAXfIlX1IR7nqeIToOA2aXvDeUNPt3/view?usp=drivesdk,3,3
1802WH,คลังวัตถุดิบ,เครื่องตัดอาร์มซอ,เครื่องตัดอาร์มซอ 2,2,18,WH,แผนกคลังวัตถุดิบ,ASC,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1JskQT4VXMKwBJoVhLBkaO9IwCnNw-fOg/view?usp=drivesdk,3,3
1803WH,คลังวัตถุดิบ,เครื่องตัดอาร์มซอ,เครื่องตัดอาร์มซอ 3,3,18,WH,แผนกคลังวัตถุดิบ,ASC,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1e2Uitgu1fXlVe2N6yKqam_479I21x7XA/view?usp=drivesdk,3,3
1804WH,คลังวัตถุดิบ,เครื่องตัดอาร์มซอ,เครื่องตัดอาร์มซอ 4,4,18,WH,แผนกคลังวัตถุดิบ,ASC,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1i9xJvUJQeIzEWTzx9y7PCvRiJS_gwz2R/view?usp=drivesdk,3,3
1901RW,เตรียมชิ้นส่วน,เครื่องตัด 2 หัว,เครื่องตัด 2 หัว 1,1,19,RW,แผนกเตรียมวัตถุดิบ,DHC,เครื่องจักรผลิต,,3,https://drive.google.com/file/d/1oM1BFcvNZhBxtM8R63eh9GG3HAWuuhMx/view?usp=drivesdk,6,3
1902RW,เตรียมชิ้นส่วน,เครื่องตัด 2 หัว,เครื่องตัด 2 หัว 2,2,19,RW,แผนกเตรียมวัตถุดิบ,DHC,เครื่องจักรผลิต,,3,https://drive.google.com/file/d/1BGe07O9UNKnjqZzTOv1q2xZQlvfCjtxu/view?usp=drivesdk,6,3
2001WH,คลังวัตถุดิบ,เครื่องตัดสไลด์ใหญ่,เครื่องตัดสไลด์ใหญ่ 1,1,20,WH,แผนกคลังวัตถุดิบ,LSS,เครื่องจักรผลิต,,3,https://drive.google.com/file/d/1HIDaleI9Za8ru5cyJcdyiwvRleY06-se/view?usp=drivesdk,7.5,3
2101CU,ขึ้นรูป,เครื่องตัด ปาด เจาะ,เครื่องตัด ปาด เจาะ 1,1,21,CU,แผนก ขึ้นรูป L1,CTD,เครื่องจักรผลิต,,3,https://drive.google.com/file/d/1YIiUZGMNVmoyMVjquNRr2qT0FXa5BZEI/view?usp=drivesdk,3.5,3
2102CU,ขึ้นรูป,เครื่องตัด ปาด เจาะ,เครื่องตัด ปาด เจาะ 2,2,21,CU,แผนก ขึ้นรูป L1,CTD,เครื่องจักรผลิต,,3,https://drive.google.com/file/d/16Cfq-b6vK5-07gd64rGHLyy2pz1W4_lY/view?usp=drivesdk,3.5,3
2201CU,ขึ้นรูป,เครื่องตัดสไลด์,เครื่องตัดสไลด์ 1,1,22,CU,แผนก ขึ้นรูป L1,STS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1Tybv69F4NBSMx7pIpl8jKuC32_i5YWEl/view?usp=drivesdk,3,3
